Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Fluxo,S14,BR,19,47.4%,0.93,1801,-48,32:45:00,11.5,12.3,6.3,6.6,42.1,42.1,2.00,43.8,3.4,0.68,68.4,0.63,-0.2,-108,3.21,0.79,50.0,33.5,2261,3.5,1.37,1.67
FURIA Esports,S14,BR,20,55.0%,1.17,1817,40,31:20:00,12.9,11.0,6.2,5.6,60.0,45.0,1.90,50.7,2.7,0.55,55.0,0.65,0.1,456,3.85,0.80,52.5,33.0,2642,3.5,1.30,1.61
INTZ e-Sports,S14,BR,18,44.4%,0.78,1781,-99,30:10:00,11.9,15.3,5.5,6.8,44.4,44.4,1.94,44.5,2.3,0.56,58.8,1.00,-0.2,-1116,4.11,0.61,41.7,32.9,2311,3.4,1.32,1.59
KaBuM! e-Sports,S14,BR,19,47.4%,01.01,1807,-16,32:16:00,12.7,12.6,5.9,6.2,36.8,36.8,2.32,50.6,2.8,0.37,36.8,1.00,-0.3,-495,3.68,0.95,61.1,33.4,2385,3.4,1.24,1.51
Liberty,S14,BR,18,16.7%,0.50,1706,-289,29:41:00,9.7,19.4,3.8,8.4,44.4,33.3,1.39,36.7,2.8,0.28,27.8,0.61,0.1,-1397,3.17,0.50,30.6,32.0,2265,3.0,01.01,1.44
Los Grandes,S14,BR,18,11.1%,0.72,1736,-181,33:04:00,10.6,14.7,4.4,8.9,55.6,44.4,1.89,40.6,2.6,0.56,55.6,0.78,-0.1,-109,4.17,0.33,24.5,33.1,1996,3.8,1.31,1.33
LOUD,S14,BR,18,55.6%,0.89,1828,-14,31:53:00,14.0,15.8,6.2,5.6,33.3,61.1,2.22,51.1,2.8,0.50,52.9,0.78,0.3,-241,4.72,0.50,37.5,32.8,2606,3.7,1.22,1.62
paiN Gaming,S14,BR,18,77.8%,1.62,1907,204,30:52:00,16.8,10.4,7.4,4.4,72.2,94.4,2.78,63.3,2.7,0.44,44.4,01.06,0.4,1811,4.94,1.00,80.4,33.3,2662,3.9,1.29,1.55
RED Canids,S14,BR,18,61.1%,1.44,1837,74,33:21:00,15.2,10.6,7.1,5.9,50.0,22.2,2.50,53.1,2.8,0.50,50.0,0.94,-0.5,-431,2.94,0.72,50.0,32.8,2303,3.7,1.30,1.60
Vivo Keyd Stars,S14,BR,18,83.3%,1.53,2040,329,29:15:00,18.9,12.3,8.9,3.3,61.1,77.8,2.61,65.9,3.3,0.50,50.0,01.06,0.5,1614,5.72,0.83,71.6,34.4,2971,3.2,01.08,1.68